"","ssp","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"ssp245--INM-CM4-8--2075--2041","ssp245",0.29,0.56,0,109,0.1,54,60,81.36,0.4,0.4,0,0.15,18.8433571246682,2641
"ssp245--INM-CM4-8--2075--2042","ssp245",0.3,0.11,0,101,0,57,63,81.65,0.1,0.3,0.1,0.1,19.1141179639473,2642
"ssp245--INM-CM4-8--2075--2043","ssp245",0.37,0.42,0,96,0.2,57,89,87.36,0,0.3,0.1,0.2,20.998124658424,2643
"ssp245--INM-CM4-8--2075--2044","ssp245",0.42,0.27,0,99,0.3,73,79,90.07,0.2,0.2,0,0.15,19.8153998997249,2644
"ssp245--INM-CM4-8--2075--2045","ssp245",0.21,0.55,0,106,0.3,75,81,94.64,0,0.1,0.2,0.05,19.6552362145005,2645
"ssp245--INM-CM4-8--2075--2046","ssp245",0.37,0.69,0,97,0.7,58,64,80.65,0.1,0.2,0,0.15,20.3831541721533,2646
"ssp245--INM-CM4-8--2075--2047","ssp245",0.3,0.49,0,84,0.4,76,84,100.06,0.4,0.1,0.1,0.1,20.0451465423218,2647
"ssp245--INM-CM4-8--2075--2048","ssp245",0.38,0.59,0,86,0.1,59,65,85.49,0.1,0.1,0.2,0.3,19.737165082479,2648
"ssp245--INM-CM4-8--2075--2049","ssp245",0.06,0.41,0,84,0,62,68,86.4,0.1,0.2,0,0.1,20.8182731171189,2649
"ssp245--INM-CM4-8--2075--2050","ssp245",0.29,0.22,0,82,0.4,51,85,73.8,0.3,0.1,0.1,0.05,18.8945897559114,2650
"ssp245--INM-CM4-8--2075--2051","ssp245",0.37,0.22,0,97,0.1,52,58,76.02,0.1,0.5,0.1,0.3,19.0158302199327,2651
"ssp245--INM-CM4-8--2075--2052","ssp245",0,0.16,0,86,0,49,55,78.63,0.1,0,0,0,18.3554014408207,2652
"ssp245--INM-CM4-8--2075--2053","ssp245",0.15,0.2,0.2,107,0,58,64,85.07,0.2,0.3,0.2,0.1,18.9742800276867,2653
"ssp245--INM-CM4-8--2075--2054","ssp245",0.16,0.3,0,80,0.2,57,63,84.89,0,0.1,0.1,0.45,19.7011972641782,2654
"ssp245--INM-CM4-8--2075--2055","ssp245",0.29,0.11,0,81,0.2,57,63,78.71,0.1,0.3,0,0.2,19.4718107474828,2655
"ssp245--INM-CM4-8--2075--2056","ssp245",0.28,0.12,0,101,0,78,84,95.12,0,0.3,0,0,20.0107426931638,2656
"ssp245--INM-CM4-8--2075--2057","ssp245",0.36,0.23,0,105,0.2,55,64,83.8,0.6,0.7,0,0.1,19.4329842500946,2657
"ssp245--INM-CM4-8--2075--2058","ssp245",0.2,0.14,0,88,0.3,73,79,93.97,0,0.5,0.1,0.15,19.9906302149369,2658
"ssp245--INM-CM4-8--2075--2059","ssp245",0.15,0.45,0,94,0.1,62,68,86.61,0.1,0.1,0,0,19.440999100178,2659
"ssp245--INM-CM4-8--2075--2060","ssp245",0.39,0.11,0,89,0.1,66,75,85.07,0.2,0.3,0,0.15,19.9135273684644,2660
"ssp245--INM-CM4-8--2075--2061","ssp245",0.37,0.37,0,91,0.1,76,89,93.7,0.2,0.1,0.2,0.15,20.1056765806619,2661
"ssp245--INM-CM4-8--2075--2062","ssp245",0.31,0.36,0,73,0.4,46,52,73.9,0.5,0.1,0,0.05,18.1147325137055,2662
"ssp245--INM-CM4-8--2075--2063","ssp245",0.24,0.25,0,93,0.1,60,66,81.64,0.1,0.7,0.3,0.45,20.2050972050626,2663
"ssp245--INM-CM4-8--2075--2064","ssp245",0.3,0.61,0,96,0.2,52,58,81.06,0.8,0.1,0.1,0,19.3833102956966,2664
"ssp245--INM-CM4-8--2075--2065","ssp245",0.26,0.36,0,72,0.2,52,63,87.17,0,0.3,0.2,0.05,19.2290507593998,2665
"ssp245--INM-CM4-8--2075--2066","ssp245",0.21,0.61,0,88,0.2,74,80,93.59,0.1,0.6,0.1,0.25,21.7049733508146,2666
"ssp245--INM-CM4-8--2075--2067","ssp245",0.24,0.34,0,89,0.1,64,70,88.56,0.1,0.1,0.3,0.05,19.2463229104092,2667
"ssp245--INM-CM4-8--2075--2068","ssp245",0.39,0.53,0,91,0,72,78,94.87,0.4,0.6,0.2,0.05,19.6038944883108,2668
"ssp245--INM-CM4-8--2075--2069","ssp245",0.19,0.43,0,94,0.1,70,76,90.81,0.1,0.3,0.1,0.4,20.736265348659,2669
"ssp245--INM-CM4-8--2075--2070","ssp245",0.23,0.34,0,97,0.1,54,60,81.5,1,0.2,0.1,0.2,18.797916016772,2670
"ssp245--INM-CM4-8--2075--2071","ssp245",0.17,0.34,0,86,0.3,53,59,77.6,0.2,0.1,0.1,0.05,17.9909850796542,2671
"ssp245--INM-CM4-8--2075--2072","ssp245",0.06,0.28,0,96,0.2,59,65,83.89,0.2,0.1,0.1,0,19.1557516274607,2672
"ssp245--INM-CM4-8--2075--2073","ssp245",0.43,0.24,0,91,0.2,76,82,87.57,0.1,0.6,0.3,0.25,21.5490282985483,2673
"ssp245--INM-CM4-8--2075--2074","ssp245",0.37,0,0,105,0,50,56,74.37,1,0.3,0,0,16.319439200682,2674
"ssp245--INM-CM4-8--2075--2075","ssp245",0.26,0,0,73,0.5,53,59,82.39,0.3,0.3,0.1,0.15,18.9072374258746,2675
"ssp245--INM-CM4-8--2075--2076","ssp245",0.26,0.24,0,83,0.1,55,61,80.14,0.7,0.4,0.1,0.25,18.5852098157135,2676
"ssp245--INM-CM4-8--2075--2077","ssp245",0.21,0.22,0,93,0.2,60,66,86.57,0.2,0.2,0.2,0.5,20.3317439610403,2677
"ssp245--INM-CM4-8--2075--2078","ssp245",0.17,0.21,0,95,0.1,67,73,91.01,0.1,0.1,0.4,0,19.4817298521595,2678
"ssp245--INM-CM4-8--2075--2079","ssp245",0.19,0.14,0,94,0.4,49,55,77.06,0.1,0.5,0,0.45,19.6550644985531,2679
"ssp245--INM-CM4-8--2075--2080","ssp245",0.42,0.46,0,94,0.1,80,86,98.99,0,0.5,0,0.25,21.0952731940773,2680
"ssp245--INM-CM4-8--2075--2081","ssp245",0.23,0.12,0,88,0.1,72,78,94.58,0.9,0.3,0.2,0,17.7856861473807,2681
"ssp245--INM-CM4-8--2075--2082","ssp245",0.25,0,0,94,0.5,63,71,88.1,0,0.4,0,0.05,19.9738323789486,2682
"ssp245--INM-CM4-8--2075--2083","ssp245",0.38,0.23,0,92,0,54,69,81.19,0.1,0.3,0,0,17.7550816781228,2683
"ssp245--INM-CM4-8--2075--2084","ssp245",0.37,0.67,0,93,0,89,95,103.42,0,0.1,0,0.1,20.7441570913185,2684
"ssp245--INM-CM4-8--2075--2085","ssp245",0.56,0.62,0,97,0,76,82,95.5,0.2,0.6,0.1,0.25,20.7350177727565,2685
"ssp245--INM-CM4-8--2075--2086","ssp245",0.31,0.48,0,87,0.5,80,86,99.98,0,0.2,0.1,0.15,22.1025869452058,2686
"ssp245--INM-CM4-8--2075--2087","ssp245",0.23,0.59,0,82,0.4,69,75,89.45,0.1,0.3,0,0,19.4358849601949,2687
"ssp245--INM-CM4-8--2075--2088","ssp245",0.12,0.1,0,88,0.1,78,84,100.38,0.1,0.3,0.1,0.2,21.137979622734,2688
"ssp245--INM-CM4-8--2075--2089","ssp245",0.32,0.33,0,84,0,63,69,88.78,0.4,0,0.1,0,16.9532562405208,2689
"ssp245--INM-CM4-8--2075--2090","ssp245",0.19,0.89,0,102,0.1,79,85,97.41,0.2,0.1,0,0,20.7398983453022,2690
"ssp245--INM-CM4-8--2075--2091","ssp245",0.18,0.14,0,85,0.1,72,78,95.58,0.3,0.3,0.1,0,19.03707771664,2691
"ssp245--INM-CM4-8--2075--2092","ssp245",0.23,0.33,0,100,0.2,62,68,87.83,0.1,0.2,0.2,0.05,19.5877768107751,2692
"ssp245--INM-CM4-8--2075--2093","ssp245",0.28,0.39,0,92,0.2,58,64,77.74,1,0.3,0,0.4,18.3910408681789,2693
"ssp245--INM-CM4-8--2075--2094","ssp245",0.33,0.33,0,92,0.1,61,67,88.9,0,0,0.2,0,20.6687199561437,2694
"ssp245--INM-CM4-8--2075--2095","ssp245",0.36,0.41,0,105,0.1,51,57,77.73,1,0.5,0.2,0.1,17.9182335253034,2695
"ssp245--INM-CM4-8--2075--2096","ssp245",0.13,0.28,0,86,0.2,45,63,63.08,0.1,0.3,0.1,0,17.9646156301261,2696
"ssp245--INM-CM4-8--2075--2097","ssp245",0.12,0.52,0,89,0,62,68,82.07,0.1,0.1,0.1,0,18.8827398333096,2697
"ssp245--INM-CM4-8--2075--2098","ssp245",0.36,0.24,0,90,0.1,58,64,85.03,0.2,0.1,0.2,0.25,19.257164508261,2698
"ssp245--INM-CM4-8--2075--2099","ssp245",0.42,0.6,0,87,0.45,68,75,94.33,0.3,0.3,0.1,0.15,19.6672808138514,2699
"ssp245--INM-CM4-8--2075--2100","ssp245",0.31,0.35,0,80,0.2,60,66,84.65,0.5,0.2,0.3,0,19.7783206633632,2700
"ssp245--INM-CM5-0--2075--2001","ssp245",0.41,0.2,0,88,0.2,48,54,75.85,0.7,0.3,0,0.3,18.9551351249182,2701
"ssp245--INM-CM5-0--2075--2002","ssp245",0.33,0.22,0,88,0,50,56,77.68,0.5,0.1,0.1,0.05,19.5513476899573,2702
"ssp245--INM-CM5-0--2075--2003","ssp245",0.12,0,0,94,0.1,62,68,91.04,0.3,0.1,0.4,0.1,19.4351226498387,2703
"ssp245--INM-CM5-0--2075--2004","ssp245",0.46,0.4,0,97,0.1,59,65,78.06,0.5,0.1,0,0,19.3254260201893,2704
"ssp245--INM-CM5-0--2075--2005","ssp245",0.12,0.22,0,97,0.1,53,59,78.75,0.3,0.3,0,0.2,19.1020679468633,2705
"ssp245--INM-CM5-0--2075--2006","ssp245",0.24,0.43,0,102,0.1,50,56,78.71,0.6,0.4,0.3,0.3,19.4974331074975,2706
"ssp245--INM-CM5-0--2075--2007","ssp245",0.18,0.1,0,91,0.2,49,67,78.19,0.3,0.2,0.3,0,19.8689211265717,2707
"ssp245--INM-CM5-0--2075--2008","ssp245",0.42,0.58,0,86,0.5,50,56,75.51,0.3,0.3,0.3,0.6,20.4916914835141,2708
"ssp245--INM-CM5-0--2075--2009","ssp245",0.19,0.53,0,94,0.4,62,68,89.65,0,0.3,0.1,0.25,21.1519970280004,2709
"ssp245--INM-CM5-0--2075--2010","ssp245",0.52,0.23,0,94,0.2,71,80,97.35,0.5,0,0.1,0,18.4972533410114,2710
"ssp245--INM-CM5-0--2075--2011","ssp245",0.28,0.47,0,77,0,55,61,76.39,0.3,0.3,0,0.35,19.6916747145469,2711
"ssp245--INM-CM5-0--2075--2012","ssp245",0.21,0.62,0,102,0.1,61,67,87.79,0.7,0.4,0.2,0.15,18.6208144508996,2712
"ssp245--INM-CM5-0--2075--2013","ssp245",0.46,0.24,0,82,0.3,62,68,79.93,1,0,0.1,0,17.7160386037933,2713
"ssp245--INM-CM5-0--2075--2014","ssp245",0.31,0.29,0,81,0.1,51,57,78.9,0.8,0.2,0,0.4,17.9249162182256,2714
"ssp245--INM-CM5-0--2075--2015","ssp245",0.46,0.45,0,87,0.8,56,62,79.66,0.1,0.2,0.3,0.1,18.7733977481015,2715
"ssp245--INM-CM5-0--2075--2016","ssp245",0.2,0.36,0,108,0.1,48,54,71.52,0.2,0.5,0.3,0.25,19.1918237425412,2716
"ssp245--INM-CM5-0--2075--2017","ssp245",0.19,0.47,0,90,0.1,53,72,77.95,0.5,0.1,0.1,0.05,20.160810757361,2717
"ssp245--INM-CM5-0--2075--2018","ssp245",0.1,0.79,0,104,0,56,62,84.72,0,0.1,0.4,0.1,19.941351548988,2718
"ssp245--INM-CM5-0--2075--2019","ssp245",0.17,0.34,0,92,0.2,54,60,79.76,0.6,0.2,0.1,0,19.4094384400922,2719
"ssp245--INM-CM5-0--2075--2020","ssp245",0.34,0.1,0,84,0.1,50,56,79.15,0.6,0.1,0.1,0.1,19.388734156397,2720
"ssp245--INM-CM5-0--2075--2021","ssp245",0.21,0.2,0,95,0.2,61,67,76.33,0.1,0,0.2,0.35,20.7629479995627,2721
"ssp245--INM-CM5-0--2075--2022","ssp245",0.18,0.43,0,105,0.1,70,76,94.67,0.3,0,0.1,0.45,20.2368590582988,2722
"ssp245--INM-CM5-0--2075--2023","ssp245",0.42,0.49,0,92,0,45,51,74.78,0.5,0.5,0.2,0.1,19.3418365016592,2723
"ssp245--INM-CM5-0--2075--2024","ssp245",0.26,0.39,0,98,0,47,53,77.14,0,0.3,0.4,0,19.5423763819576,2724
"ssp245--INM-CM5-0--2075--2025","ssp245",0.11,0.44,0,97,0,55,61,72.74,0.7,0.5,0.1,0.35,20.6154189491915,2725
"ssp245--INM-CM5-0--2075--2026","ssp245",0.37,0.11,0,107,0.3,55,61,84.15,0.2,0.2,0.1,0.15,21.0092876452552,2726
"ssp245--INM-CM5-0--2075--2027","ssp245",0.25,0.24,0,77,0,65,71,89.36,0.1,0.3,0.2,0.3,20.3894343644683,2727
"ssp245--INM-CM5-0--2075--2028","ssp245",0.51,0.62,0,97,0.2,54,60,80.18,0.3,0.3,0.1,0.15,19.9319018538241,2728
"ssp245--INM-CM5-0--2075--2029","ssp245",0.3,0.45,0.25,80,0.2,49,55,76.38,0.4,0.1,0.2,0.15,19.2062399005275,2729
"ssp245--INM-CM5-0--2075--2030","ssp245",0.15,0.24,0,99,0.2,46,52,74.82,0,0.5,0.3,0.65,19.5055880554715,2730
"ssp245--INM-CM5-0--2075--2031","ssp245",0.38,0.37,0,93,0,48,54,77.15,0.6,0,0.1,0,17.2432250557847,2731
"ssp245--INM-CM5-0--2075--2032","ssp245",0.54,0.24,0,88,0.1,59,65,81.33,0,0.1,0.1,0,19.86447477041,2732
"ssp245--INM-CM5-0--2075--2033","ssp245",0.31,0.62,0,96,0.1,67,73,88.1,0.4,0.3,0,0,18.3708170372081,2733
"ssp245--INM-CM5-0--2075--2034","ssp245",0.29,0.31,0,88,0.1,53,59,75.21,0.2,0.4,0,0.5,20.6334040527633,2734
"ssp245--INM-CM5-0--2075--2035","ssp245",0.32,0.32,0,102,0.4,53,59,80.26,0.8,0.3,0,0.25,18.403296510412,2735
"ssp245--INM-CM5-0--2075--2036","ssp245",0.11,0.34,0,83,0.6,62,68,85.62,0.1,0,0.1,0.05,18.9988386967911,2736
"ssp245--INM-CM5-0--2075--2037","ssp245",0.12,0.25,0,89,0.6,73,79,93.69,0.3,0.3,0.1,0.25,19.9391656295448,2737
"ssp245--INM-CM5-0--2075--2038","ssp245",0.5,0.27,0,98,0.4,44,50,75.9,0,0.2,0.2,0.1,18.3926854419111,2738
"ssp245--INM-CM5-0--2075--2039","ssp245",0.39,0.44,0,98,0,57,63,87.3,0.6,0.4,0.3,0.45,19.4838409674696,2739
"ssp245--INM-CM5-0--2075--2040","ssp245",0.18,0.4,0,87,0,49,55,78.63,1,0.2,0,0.15,18.5050854995073,2740
"ssp245--INM-CM5-0--2075--2041","ssp245",0.29,0.56,0,109,0,53,59,78.86,0.3,0.3,0,0.15,19.2155029015796,2741
"ssp245--INM-CM5-0--2075--2042","ssp245",0.3,0.11,0,102,0,57,63,82.52,0.1,0.2,0.3,0.1,19.5528705865215,2742
"ssp245--INM-CM5-0--2075--2043","ssp245",0.37,0.46,0,96,0.2,57,71,88.77,0.2,0.1,0.1,0.2,19.7504244808665,2743
"ssp245--INM-CM5-0--2075--2044","ssp245",0.42,0.27,0,100,0.3,71,77,90.6,0.2,0.2,0.1,0.15,20.0285922156784,2744
"ssp245--INM-CM5-0--2075--2045","ssp245",0.21,0.56,0,107,0.3,60,73,85.34,0,0,0.2,0.05,19.630499989849,2745
"ssp245--INM-CM5-0--2075--2046","ssp245",0.37,0.71,0,100,0.7,57,63,81.34,0.1,0.1,0.1,0.15,20.7195475992483,2746
"ssp245--INM-CM5-0--2075--2047","ssp245",0.35,0.44,0,85,0.4,63,69,91.51,0.4,0.1,0.3,0.1,19.2504534699856,2747
"ssp245--INM-CM5-0--2075--2048","ssp245",0.38,0.58,0,86,0.1,57,63,85.07,0.2,0.1,0.3,0.3,20.0796834098887,2748
"ssp245--INM-CM5-0--2075--2049","ssp245",0.06,0.41,0,88,0,62,68,88.36,0.1,0.2,0.1,0.1,21.2028174273728,2749
"ssp245--INM-CM5-0--2075--2050","ssp245",0.29,0.22,0,84,0.4,50,59,72.58,0.3,0.1,0.1,0.05,17.5904782590784,2750
"ssp245--INM-CM5-0--2075--2051","ssp245",0.31,0.22,0,97,0.1,50,56,75.17,0.1,0.3,0.1,0.25,19.3603059833531,2751
"ssp245--INM-CM5-0--2075--2052","ssp245",0,0.16,0,86,0,49,55,80.02,0,0.2,0.1,0,18.7921012120645,2752
"ssp245--INM-CM5-0--2075--2053","ssp245",0.2,0.3,0.2,108,0.1,57,63,82.71,0.1,0.1,0.2,0.05,19.3138788492602,2753
"ssp245--INM-CM5-0--2075--2054","ssp245",0.16,0.3,0,82,0.3,56,62,85.54,0,0,0.1,0.35,20.0419104469166,2754
"ssp245--INM-CM5-0--2075--2055","ssp245",0.29,0.11,0.2,85,0.2,56,62,79.18,0,0.1,0,0.15,19.8669491427104,2755
"ssp245--INM-CM5-0--2075--2056","ssp245",0.28,0.24,0,102,0.1,75,81,94.27,0,0.3,0,0,20.1126082653483,2756
"ssp245--INM-CM5-0--2075--2057","ssp245",0.36,0.33,0,105,0.2,53,61,83.35,0.4,0.8,0,0.1,19.6291129937947,2757
"ssp245--INM-CM5-0--2075--2058","ssp245",0.2,0.14,0,88,0.3,67,73,91.6,0,0.2,0.1,0.1,19.9239630181188,2758
"ssp245--INM-CM5-0--2075--2059","ssp245",0.17,0.47,0,99,0.1,62,68,84.9,0,0.1,0.2,0,19.8741695859719,2759
"ssp245--INM-CM5-0--2075--2060","ssp245",0.39,0.21,0,92,0.1,65,71,81.92,0.2,0.3,0,0.15,19.9793074848291,2760
"ssp245--INM-CM5-0--2075--2061","ssp245",0.37,0.33,0,91,0.1,67,73,89.39,0.3,0,0.3,0.15,19.1724244953413,2761
"ssp245--INM-CM5-0--2075--2062","ssp245",0.31,0.36,0,73,0.4,46,52,75.95,0.5,0.2,0.1,0.05,18.5698472706521,2762
"ssp245--INM-CM5-0--2075--2063","ssp245",0.24,0.25,0,95,0.1,59,65,78.66,0.1,0.4,0.4,0.45,20.5612766877186,2763
"ssp245--INM-CM5-0--2075--2064","ssp245",0.3,0.61,0,99,0.1,51,57,79.04,0.5,0.2,0.2,0,19.728461082763,2764
"ssp245--INM-CM5-0--2075--2065","ssp245",0.26,0.36,0,73,0.2,52,62,86.12,0,0.2,0.2,0.05,19.6043441449567,2765
"ssp245--INM-CM5-0--2075--2066","ssp245",0.21,0.51,0,89,0.2,73,79,91.72,0.1,0.2,0.2,0.1,21.8843458043784,2766
"ssp245--INM-CM5-0--2075--2067","ssp245",0.3,0.34,0,92,0.1,63,69,84.65,0.1,0.1,0.3,0.05,19.5795559399762,2767
"ssp245--INM-CM5-0--2075--2068","ssp245",0.39,0.53,0,93,0.1,66,72,89.99,0.4,0.4,0.3,0.05,19.6264900814201,2768
"ssp245--INM-CM5-0--2075--2069","ssp245",0.19,0.43,0,95,0.1,68,74,89.98,0.2,0.3,0.2,0.35,20.9674883160857,2769
"ssp245--INM-CM5-0--2075--2070","ssp245",0.23,0.38,0,99,0.1,54,60,81.62,0.9,0.1,0.2,0.1,19.2185186675444,2770
"ssp245--INM-CM5-0--2075--2071","ssp245",0.17,0.42,0,87,0.3,52,58,77.74,0.3,0,0.1,0.05,18.4256001573575,2771
"ssp245--INM-CM5-0--2075--2072","ssp245",0.06,0.29,0,98,0.2,58,64,80.62,0.2,0,0.2,0,19.5487714832323,2772
"ssp245--INM-CM5-0--2075--2073","ssp245",0.44,0.24,0,93,0.2,74,80,88.55,0.1,0.2,0.5,0.2,21.625614559379,2773
"ssp245--INM-CM5-0--2075--2074","ssp245",0.38,0,0,106,0,50,56,72.7,1,0.2,0.1,0,16.7793869825367,2774
"ssp245--INM-CM5-0--2075--2075","ssp245",0.26,0,0,76,0.5,52,58,79.8,0.3,0.1,0.2,0.1,19.2898268341066,2775
"ssp245--INM-CM5-0--2075--2076","ssp245",0.26,0.34,0,83,0.1,54,60,81.42,0.6,0.3,0.1,0.2,18.9574901239121,2776
"ssp245--INM-CM5-0--2075--2077","ssp245",0.21,0.32,0,92,0.2,60,66,86.97,0.2,0.1,0.2,0.5,20.6537852914675,2777
"ssp245--INM-CM5-0--2075--2078","ssp245",0.17,0.21,0,96,0.2,64,70,89.76,0,0.1,0.4,0,19.7457878376459,2778
"ssp245--INM-CM5-0--2075--2079","ssp245",0.19,0.14,0,94,0.5,49,55,76.45,0.1,0.3,0,0.35,20.0968001127405,2779
"ssp245--INM-CM5-0--2075--2080","ssp245",0.42,0.46,0,94,0.1,70,76,90.73,0.2,0.5,0.1,0.25,20.5906473435431,2780
"ssp245--INM-CM5-0--2075--2081","ssp245",0.23,0.12,0.2,89,0.1,70,76,93.81,0.8,0.3,0.2,0,18.0357420288022,2781
"ssp245--INM-CM5-0--2075--2082","ssp245",0.25,0,0,95,0.5,62,68,87.01,0.1,0.2,0,0,20.1300535565714,2782
"ssp245--INM-CM5-0--2075--2083","ssp245",0.38,0.23,0,93,0,54,67,79.69,0.1,0.3,0,0,18.028252102618,2783
"ssp245--INM-CM5-0--2075--2084","ssp245",0.37,0.55,0,96,0,76,82,94.05,0.2,0.1,0.1,0.1,19.7743080533422,2784
"ssp245--INM-CM5-0--2075--2085","ssp245",0.51,0.64,0,96,0,75,81,96.36,0.2,0.3,0.2,0.25,20.8757593610649,2785
"ssp245--INM-CM5-0--2075--2086","ssp245",0.31,0.54,0,89,0.5,71,77,95.02,0,0.4,0.1,0.1,21.6808730179524,2786
"ssp245--INM-CM5-0--2075--2087","ssp245",0.23,0.59,0,86,0.4,69,75,89.25,0.1,0.2,0,0,19.7287029649898,2787
"ssp245--INM-CM5-0--2075--2088","ssp245",0.17,0.1,0,88,0.1,59,67,86.6,0.4,0.1,0.1,0.2,20.0677499595647,2788
"ssp245--INM-CM5-0--2075--2089","ssp245",0.32,0.33,0,86,0,62,68,87.68,0,0,0.2,0,17.3020554592907,2789
"ssp245--INM-CM5-0--2075--2090","ssp245",0.19,0.78,0,101,0.1,68,74,88.95,0.1,0,0,0,20.23185194875,2790
"ssp245--INM-CM5-0--2075--2091","ssp245",0.25,0.1,0,89,0.1,68,74,94.78,0.3,0.2,0.1,0,19.1899144835759,2791
"ssp245--INM-CM5-0--2075--2092","ssp245",0.23,0.33,0,104,0.2,60,66,84.01,0.1,0.2,0.2,0.05,19.9013400013739,2792
"ssp245--INM-CM5-0--2075--2093","ssp245",0.28,0.39,0,93,0.2,58,64,79.54,1,0.3,0.2,0.3,18.8042836380999,2793
"ssp245--INM-CM5-0--2075--2094","ssp245",0.28,0.33,0,94,0.1,58,64,88.57,0,0.1,0.2,0,20.9225506062935,2794
"ssp245--INM-CM5-0--2075--2095","ssp245",0.36,0.45,0,107,0.1,50,56,78.87,1,0.4,0.2,0.05,18.3035764271895,2795
"ssp245--INM-CM5-0--2075--2096","ssp245",0.13,0.28,0,90,0.2,44,50,62.54,0.3,0.1,0.2,0,17.6643196877364,2796
"ssp245--INM-CM5-0--2075--2097","ssp245",0.12,0.53,0,91,0,61,67,81.4,0.1,0.1,0.3,0,19.2343034313876,2797
"ssp245--INM-CM5-0--2075--2098","ssp245",0.36,0.23,0,88,0,56,62,85.3,0.3,0.1,0.2,0.2,19.549295126534,2798
"ssp245--INM-CM5-0--2075--2099","ssp245",0.43,0.6,0,88,0.45,64,70,93.06,0.1,0.1,0.1,0.1,19.6527667755325,2799
"ssp245--INM-CM5-0--2075--2100","ssp245",0.31,0.35,0,81,0.2,57,63,82.65,0.4,0.2,0.3,0,20.0384721765579,2800
"ssp245--IPSL-CM6A-LR--2075--2001","ssp245",0.41,0.29,0,96,0.1,47,53,71.58,0.6,0.3,0,0.4,19.6329110512035,2801
"ssp245--IPSL-CM6A-LR--2075--2002","ssp245",0.33,0.22,0,92,0,47,53,76.36,0.3,0.2,0,0.15,20.1423932635044,2802
"ssp245--IPSL-CM6A-LR--2075--2003","ssp245",0.17,0.26,0.2,101,0,49,56,80.73,0.2,0.1,0.4,0.4,19.5866901601561,2803
"ssp245--IPSL-CM6A-LR--2075--2004","ssp245",0.5,0.45,0,109,0.1,58,64,74.02,0.6,0.1,0,0.2,20.0000247085148,2804
"ssp245--IPSL-CM6A-LR--2075--2005","ssp245",0.19,0.29,0,103,0,52,58,77.81,0.4,0.5,0,0.35,19.7504178248508,2805
"ssp245--IPSL-CM6A-LR--2075--2006","ssp245",0.24,0.63,0,110,0.1,47,53,76.8,0.5,0.4,0.3,0.4,20.0562435906441,2806
"ssp245--IPSL-CM6A-LR--2075--2007","ssp245",0.18,0.21,0,100,0.1,47,64,79.43,0.3,0.2,0.3,0.05,20.4087241494603,2807
"ssp245--IPSL-CM6A-LR--2075--2008","ssp245",0.41,0.65,0,92,0.4,49,55,70.22,0.3,0.2,0.3,0.75,21.13779406916,2808
"ssp245--IPSL-CM6A-LR--2075--2009","ssp245",0.24,0.48,0,105,0.3,48,54,80.87,0,0.2,0.1,0.4,20.9050266246007,2809
"ssp245--IPSL-CM6A-LR--2075--2010","ssp245",0.51,0.24,0,104,0.2,47,77,78.98,0.6,0,0.1,0,19.1727664322966,2810
"ssp245--IPSL-CM6A-LR--2075--2011","ssp245",0.33,0.47,0,92,0,55,61,75.42,0.3,0.3,0,0.5,20.40388404398,2811
"ssp245--IPSL-CM6A-LR--2075--2012","ssp245",0.21,0.71,0,114,0,60,66,86.35,0.6,0.2,0.2,0.2,19.3258719367514,2812
"ssp245--IPSL-CM6A-LR--2075--2013","ssp245",0.5,0.35,0,94,0.3,59,65,75.28,0.7,0.3,0.1,0,18.3965958003943,2813
"ssp245--IPSL-CM6A-LR--2075--2014","ssp245",0.3,0.52,0,93,0,49,55,74.1,0.7,0.2,0,0.5,18.5681678761559,2814
"ssp245--IPSL-CM6A-LR--2075--2015","ssp245",0.55,0.63,0,93,0.4,55,61,75.55,0.1,0.2,0.2,0.15,19.4819069117111,2815
"ssp245--IPSL-CM6A-LR--2075--2016","ssp245",0.25,0.48,0,115,0.1,47,53,69.89,0.3,0.4,0.2,0.35,19.9000693944913,2816
"ssp245--IPSL-CM6A-LR--2075--2017","ssp245",0.21,0.52,0,97,0.2,52,70,76.26,0.4,0.2,0.1,0.25,20.8315239843853,2817
"ssp245--IPSL-CM6A-LR--2075--2018","ssp245",0.15,0.82,0,117,0,55,61,82.83,0,0,0.3,0.15,20.5343372715281,2818
"ssp245--IPSL-CM6A-LR--2075--2019","ssp245",0.17,0.35,0,101,0.2,53,59,75.06,0.6,0.1,0.1,0.1,19.9949854032911,2819
"ssp245--IPSL-CM6A-LR--2075--2020","ssp245",0.35,0.47,0,94,0.1,49,55,77.93,0.7,0.1,0.1,0.3,20.0511667749848,2820
"ssp245--IPSL-CM6A-LR--2075--2021","ssp245",0.25,0.35,0,104,0.1,61,67,75.6,0.2,0.1,0.1,0.65,21.5439974331513,2821
"ssp245--IPSL-CM6A-LR--2075--2022","ssp245",0.18,0.46,0,111,0.1,70,76,95.77,0.1,0,0.1,0.6,21.0632443653439,2822
"ssp245--IPSL-CM6A-LR--2075--2023","ssp245",0.42,0.5,0,108,0,44,50,70.44,0.5,0.2,0.2,0.35,20.0477246167742,2823
"ssp245--IPSL-CM6A-LR--2075--2024","ssp245",0.28,0.4,0,108,0,46,52,76.88,0,0.2,0.4,0.15,20.2084524624613,2824
