"","ssp","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"ssp370--CNRM-ESM2-1--2075--2077","ssp370",0.23,0,0,38,104.5,7.10079470198676,0.283333333333333,0,0.5,0,0.06,0,0,0,0,0,0,0.65,0.1,0.15,0.3,10.3553333333333,9.68091666666667,16.6211666666667,22.2554411764706,3577
"ssp370--CNRM-ESM2-1--2075--2078","ssp370",0.25,0,0.1,43,105.69,6.84225165562914,0.35,0,0.15,0,0,0,0,0,0,0,0,0.25,0.1,0.3,0.4,11.486,11.1205833333333,12.9755,19.6127272727273,3578
"ssp370--CNRM-ESM2-1--2075--2079","ssp370",0.23,0.55,0,39,102.41,7.29238410596027,0.4,0,0.1,0,0.07,0.05,0,0,0,0,0,0.5,0.1,0,0.3,11.1229166666667,10.98575,14.1055,19.7598484848485,3579
"ssp370--CNRM-ESM2-1--2075--2080","ssp370",0.38,0.25,0,41,102.64,7.83735099337748,0.283333333333333,0,0.8,0,0,0.05,0,0.1,0.1,0.1,0,0.1,0.1,0,0.55,12.559375,9.03283333333333,17.1995,19.0587878787879,3580
"ssp370--CNRM-ESM2-1--2075--2081","ssp370",0.27,0.15,0.15,44,105.04,7.48390728476821,0.35,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.35,12.1680833333333,8.71716666666667,12.1968333333333,17.1507352941176,3581
"ssp370--CNRM-ESM2-1--2075--2082","ssp370",0.41,0.2,0,36,105.99,6.83119205298013,0.216666666666667,0,0.2,0,0.1,0,0,0,0,0,0,0,0.1,0,0.75,12.0315833333333,11.1500833333333,13.995,17.9542424242424,3582
"ssp370--CNRM-ESM2-1--2075--2083","ssp370",0.31,0.4,0.1,36,106.06,7.44019867549669,0.2,0,0.4,0,0.06,0.05,0,0.1,0,0.1,0,0,0.1,0.15,0.35,10.0312916666667,8.48275,12.9421666666667,16.8069696969697,3583
"ssp370--CNRM-ESM2-1--2075--2084","ssp370",0.41,0,0,39,105.65,7.07238410596027,0.283333333333333,0,0.8,0,0,0.05,0,0,0.1,0.2,0,0.2,0.2,0.15,0.35,10.857375,7.70191666666667,15.249,19.799696969697,3584
"ssp370--CNRM-ESM2-1--2075--2085","ssp370",0.31,0.15,0,40,108.1,7.23615894039735,0.25,0,0.7,0,0.07,0.05,0,0.15,0,0,0,0.2,0.05,0,0.15,11.8759166666667,8.90083333333333,17.5553333333333,18.4402941176471,3585
"ssp370--CNRM-ESM2-1--2075--2086","ssp370",0.59,0.35,0,34,100.29,7.15225165562914,0.25,0.1,0.25,0,0.05,0.05,0,0.1,0,0,0,0.05,0.1,0,0.65,11.2585416666667,11.4810833333333,15.4356666666667,18.9659090909091,3586
"ssp370--CNRM-ESM2-1--2075--2087","ssp370",0.07,0,0,36,102.12,7.02165562913907,0.3,0,0.6,0,0.11,0.15,0,0,0.1,0.1,0,0,0.1,0,0.7,11.1514166666667,9.01858333333333,16.466,17.1543939393939,3587
"ssp370--CNRM-ESM2-1--2075--2088","ssp370",0.2,0.25,0,36,105.46,7.52556291390728,0.4,0,0.65,0,0.19,0,0,0,0,0,0,0.2,0,0.15,0.4,12.011875,9.86591666666667,15.4471666666667,18.8918181818182,3588
"ssp370--CNRM-ESM2-1--2075--2089","ssp370",0.11,0,0,36,108.37,7.58238410596027,0.316666666666667,0,0.7,0.05,0.06,0,0,0,0,0,0,0.15,0.1,0.15,0.25,10.2027916666667,8.699,11.1816666666667,16.5517647058824,3589
"ssp370--CNRM-ESM2-1--2075--2090","ssp370",0.39,0.85,0,47,104.21,6.26953642384106,0.183333333333333,0,0.3,0,0.09,0.15,0,0,0,0.1,0,0,0,0,0.35,12.6772916666667,9.56216666666667,16.3601666666667,17.7410606060606,3590
"ssp370--CNRM-ESM2-1--2075--2091","ssp370",0.31,0,0,39,108.22,6.65039735099338,0.2,0,0.35,0,0.08,0,0,0,0,0,0,0,0,0.15,0.35,10.6109583333333,9.01025,15.0846666666667,16.7621212121212,3591
"ssp370--CNRM-ESM2-1--2075--2092","ssp370",0.26,0.4,0,45,104.44,6.72549668874172,0.233333333333333,0,0.2,0,0.07,0,0,0,0,0,0,0.15,0.15,0.6,0.5,12.1885416666667,10.1794166666667,14.9645,19.0628787878788,3592
"ssp370--CNRM-ESM2-1--2075--2093","ssp370",0.31,0.15,0.1,44,102.67,6.97735099337748,0.25,0,1,0,0.08,0.1,0,0,0,0.1,0,0.4,0.15,0.3,0.35,11.84475,6.66766666666667,16.6858333333333,19.3352941176471,3593
"ssp370--CNRM-ESM2-1--2075--2094","ssp370",0.08,0.1,0,42,98.86,7.5841059602649,0.4,0,0.3,0,0.05,0,0,0.1,0.1,0.15,0,0.2,0,0.3,0.35,11.6477916666667,12.04225,16.3276666666667,19.2587878787879,3594
