"","id","today","ssp1","ssp2","ssp3","ssp5"
"marketable_yield_today190","270",47.6216172539148,61.7920391125925,65.7044754658154,68.3704856713071,69.4103570243028
"marketable_yield_today191","271",46.852395833297,60.7012273191691,64.8906321674142,67.8499192599634,68.8861473284725
"marketable_yield_today192","272",63.175388389722,72.5541382476992,74.7380810430701,73.3987977536996,73.4733047945461
"marketable_yield_today193","273",63.034920606343,73.3258854998695,75.4182781870712,74.5433170579308,74.4278267330816
"marketable_yield_today194","274",63.1709624582642,72.6071803175227,74.6664361376625,74.2520873662831,74.0868708830807
"marketable_yield_today195","275",62.2434758009332,72.7031150651977,75.1969234227838,74.6116720524502,74.5656548332833
"marketable_yield_today196","276",61.7469277499801,72.8086484614464,74.9143714899464,74.523421784948,74.0993851384784
"marketable_yield_today197","277",61.3403434793539,71.5338858755556,73.6389488503634,73.8901644119221,73.7532791602793
"marketable_yield_today198","278",63.0275986683699,72.2456348713732,74.0757169383172,73.4411154268926,73.4639538032278
"marketable_yield_today199","279",61.218034481495,71.0396266288293,73.053088780567,72.6302015836208,72.3925956023681
"marketable_yield_today200","28",58.5292978253482,68.9746685859333,72.1937132915603,72.4718157829823,72.5246399185899
"marketable_yield_today201","280",60.0647464897824,70.2437884772092,72.6050401422385,72.4080053635818,72.4375161165148
"marketable_yield_today202","281",61.1488234451784,71.1319475269191,73.3458765822671,73.2617071382243,72.8525696060551
"marketable_yield_today203","282",59.2319717987209,69.7366368739233,71.8883701929652,71.9684762614068,72.2077792211491
"marketable_yield_today204","283",58.6057197889443,69.0563603938363,71.7512875376305,72.0708264816413,71.6083693724627
"marketable_yield_today205","284",57.9884029196803,69.2255786054918,71.9155393097845,72.3343049920712,72.563900811855
"marketable_yield_today206","285",58.1316594621471,69.2673236469132,72.0942184271397,72.4859693086441,72.5558935200186
"marketable_yield_today207","286",55.9854818822414,67.735441742027,70.9505070539006,71.8043708017228,72.1983783377396
"marketable_yield_today208","287",55.3158998085686,67.1020319581444,70.3803986197836,71.1943057514813,70.9974676286365
"marketable_yield_today209","288",54.1123617529006,66.5021397788276,69.7156569562155,71.0026953633118,71.1067459076181
"marketable_yield_today210","289",53.0974381869933,66.1170214869675,69.5008749166553,70.6051229885606,71.3455194259141
"marketable_yield_today211","29",57.670324003255,68.0597208416078,70.8489957784046,71.166375551325,71.1428901696295
"marketable_yield_today212","290",51.7747108983053,65.5707699909895,69.4363453333873,71.3341434675589,71.7222324296543
"marketable_yield_today213","291",50.0398110381277,64.0312717786815,68.3163740998113,70.2784031800428,70.7377973301795
"marketable_yield_today214","292",46.5889078143062,62.6443122368577,66.6583301077367,69.1476590469408,69.820094870418
"marketable_yield_today215","293",44.7549178462887,60.2637475672046,64.6016457859842,67.3349726606131,68.3757224855442
"marketable_yield_today216","294",44.0129008623026,59.6684630167893,64.0285995020928,67.1057931185812,68.3609014483122
"marketable_yield_today217","295",43.2254158586883,59.0971579225169,64.4244930255476,67.8918535458371,69.2668302108276
"marketable_yield_today218","296",41.3848834133588,57.5386916081642,62.670904843367,66.7398947145986,68.1849228763721
"marketable_yield_today219","297",39.3405093027537,55.6827228306956,61.0882494040359,65.6061781526122,67.422093961602
"marketable_yield_today220","298",39.4933883067073,55.7915068765323,61.2215172054876,65.956785321201,67.8458739486119
"marketable_yield_today221","299",40.0284475743547,56.2264796251584,61.3366510942397,65.7250259094742,67.3412783751251
"marketable_yield_today222","3",59.4072638873869,69.2848561110423,71.5991756367015,72.1054180620819,72.564802558865
"marketable_yield_today223","30",58.0873574865926,67.6171667904677,70.4964887481549,70.3182285329708,70.4539777942607
"marketable_yield_today224","300",42.4398924805079,57.7972021350189,62.6536467980579,66.6660558866373,68.2145861491359
"marketable_yield_today225","301",45.6490189466115,59.9044456105457,64.686380405703,67.7951308477599,69.0752710560412
"marketable_yield_today226","302",47.0805394442495,61.7607538874249,65.7113548822549,68.4711924144959,69.7634737639075
"marketable_yield_today227","303",47.6283579196426,61.9092724712267,66.1329692016629,68.7329763905392,69.6037967680164
"marketable_yield_today228","304",48.5147435710616,61.9077975811903,66.2809049552105,69.0831027357747,69.8152467822836
"marketable_yield_today229","305",47.5223392104623,61.5917783784672,65.5779990373267,68.4668658675055,69.6124612029693
"marketable_yield_today230","306",63.4427332392724,72.9809862634566,75.1718737979063,74.6275488028469,74.0860995867232
"marketable_yield_today231","307",62.0145819439767,72.0330252906392,74.2361025689447,73.7854579691275,73.1413616012202
"marketable_yield_today232","308",63.2395825401793,72.9016515253798,75.3240291177141,74.9943752732091,74.6323525667478
"marketable_yield_today233","309",63.6479182327414,72.6491192409351,74.2467659800216,74.1903481894914,73.567740089337
"marketable_yield_today234","31",57.0850222633804,69.2224301154615,72.1706737320173,72.5126918024944,72.071046848224
"marketable_yield_today235","310",64.3569344340361,72.3712025344759,74.455751859622,74.0807851035591,73.9627772244224
"marketable_yield_today236","311",63.9685190931086,72.3841368320077,73.8181558108219,73.6834393791518,73.5161052008149
"marketable_yield_today237","312",61.3589449366457,70.9065636420046,72.7165776344749,72.4003517859808,72.0325030568263
"marketable_yield_today238","313",58.4652053666441,69.9752400666464,72.6093835962543,73.0492721319694,72.5281882862235
"marketable_yield_today239","314",57.0389531376581,68.8416224851106,71.7724419661701,71.8880437952496,71.79787638322
"marketable_yield_today240","315",54.7487549380869,67.7798951667154,70.542994350327,71.7249407487776,71.8844285620514
"marketable_yield_today241","316",54.8534006217868,67.3090553129116,70.6175731455044,71.7976918435359,72.1899971073071
"marketable_yield_today242","317",55.1546735507036,66.9822362444531,70.5167013160854,72.0432812265481,71.9128934678264
"marketable_yield_today243","318",53.4687077658698,66.3985999090637,69.8770012906348,71.4103060864416,72.1261587463835
"marketable_yield_today244","319",52.0502370272986,65.3143007766786,69.0391313092059,70.8163281822961,71.0644655505827
"marketable_yield_today245","32",57.2906487491348,69.4078578080764,71.9424342952798,72.284936640225,72.1251610508612
"marketable_yield_today246","320",50.4382318702008,64.5969558620773,68.8992961469594,70.8980212907359,71.8655508183161
"marketable_yield_today247","321",48.4095707682177,63.6648512685998,67.9507879489386,70.5600060403187,71.3454287649891
"marketable_yield_today248","322",45.0505086662962,60.9629106304561,65.2965817854812,67.8333853681728,69.1939915229713
"marketable_yield_today249","323",43.8215984100154,59.8109863611798,64.7672752647246,68.0940016617519,69.3707215146182
"marketable_yield_today250","324",42.6310420814201,58.5894192797766,63.2262609626566,66.9372221203581,68.6629146024305
"marketable_yield_today251","325",41.0671825687158,57.7693194092716,63.0374652181139,66.8389007692358,68.4418171173505
"marketable_yield_today252","326",38.3551595876562,55.9742181487974,61.5757359799668,65.6177542410971,67.3292218755751
"marketable_yield_today253","327",38.8181328897323,55.189716924084,61.0257840782674,65.4782821245498,67.4586396714113
"marketable_yield_today254","328",34.6044359404123,52.7591540023835,59.039361269906,63.5534736587702,65.5291533309116
"marketable_yield_today255","329",35.1730378193948,52.5179082761503,58.504729005904,64.049810714521,66.4270386084592
"marketable_yield_today256","33",57.212743294904,69.4503445083494,72.3210366888986,72.1018312655578,72.3282929771085
"marketable_yield_today257","330",31.6037701166461,48.8722129994323,55.5038648675056,61.1185323099338,63.7522861972979
"marketable_yield_today258","331",34.1302890082732,51.1381341931888,57.1634339084243,62.4453081145167,64.8905488868689
"marketable_yield_today259","332",34.9918540345756,52.683328747048,58.5640792804438,63.3412258644829,65.0009992065158
"marketable_yield_today260","333",40.9202282366786,56.9836813028137,62.2455514659644,66.4027541055334,68.2916730520413
"marketable_yield_today261","334",43.063345406709,58.3021397036349,62.7658915171141,66.5693773080688,67.8804205229506
"marketable_yield_today262","335",44.6427036088316,59.3529775805377,64.1279494144168,67.0564912368928,68.6282412940525
"marketable_yield_today263","336",44.7960192585933,59.532462793302,63.9636815180545,67.171857776664,68.4784911588583
"marketable_yield_today264","337",62.4600813151849,72.6001841078755,74.5929975669553,74.3331207700289,73.2855969531253
"marketable_yield_today265","338",62.3433582313866,72.7948476636734,74.7001276874968,73.9962612226723,73.6439009481108
"marketable_yield_today266","339",62.4928600109728,72.0763533013805,74.2655114953607,73.9545532385176,73.1577405295422
"marketable_yield_today267","34",56.8344087043066,68.9601587792155,72.0141924540777,72.7273730449627,72.4921122396257
"marketable_yield_today268","340",62.6397028030773,71.9874749406343,74.1231068545807,73.4942455743945,73.4646813287315
"marketable_yield_today269","341",61.8153410209387,71.3550014336428,73.0564662667564,72.813028217507,72.6500355693264
"marketable_yield_today270","342",62.2730879344202,71.4836260159698,73.1480672871167,72.6495371024954,72.5027446182965
"marketable_yield_today271","343",60.9851600272309,71.0935059830085,72.6589911460538,72.3278246663297,72.0703393010449
