"","id","ssp1","ssp2","ssp3","ssp5"
"marketable_yield_ssp1170","252",11.7072123976172,14.6919183993203,14.9662226704079,14.6322770135747
"marketable_yield_ssp1171","253",12.1541794561011,15.1124128510285,15.5397812286653,15.5829136548162
"marketable_yield_ssp1172","254",11.1178826807768,14.0840097208511,14.5907309778493,14.2130456498508
"marketable_yield_ssp1173","255",11.2037275814013,13.9542927476032,14.433200117697,14.5576901611662
"marketable_yield_ssp1174","256",11.3239863587046,14.2772663300679,15.1158771488769,15.0312613073301
"marketable_yield_ssp1175","257",12.2414539328059,15.2481323473136,16.8109961484671,16.5662888975086
"marketable_yield_ssp1176","258",13.3360778282246,17.1125628479319,18.6325901051926,18.8329787784832
"marketable_yield_ssp1177","259",13.7802965043544,17.252980510032,19.2310311931139,19.5832373383169
"marketable_yield_ssp1178","26",10.7450871163718,13.2355038689203,13.6572652538974,13.3078259867551
"marketable_yield_ssp1179","260",13.9278958734145,17.7557128197692,19.6425473327989,20.7583330836827
"marketable_yield_ssp1180","261",14.2851549103628,18.2338537581197,20.4196027087468,21.3544689306078
"marketable_yield_ssp1181","262",14.3742538899371,18.9406692890807,21.494719736779,22.6022108838377
"marketable_yield_ssp1182","263",15.7373705947435,20.5477128285028,23.507450464469,24.7119183508034
"marketable_yield_ssp1183","264",16.5962956501469,21.2499409287788,25.2066908626519,26.5260756842685
"marketable_yield_ssp1184","265",15.4812933209924,20.166245628398,23.8892548279335,25.1978016098626
"marketable_yield_ssp1185","266",14.7330157607978,19.4676581934303,22.4044897561009,23.7635182175916
"marketable_yield_ssp1186","267",14.3690808349429,18.8503842150531,21.7953442325076,23.1149683797615
"marketable_yield_ssp1187","268",13.5222108497275,17.6120617623429,20.1886460869079,21.0801365177907
"marketable_yield_ssp1188","269",13.7170988623431,17.8072569222878,19.9476923274072,20.85280982201
"marketable_yield_ssp1189","27",10.1983717574666,12.5319145525931,12.5770504512841,13.3266091585464
"marketable_yield_ssp1190","270",14.1704218586777,18.0828582119006,20.7488684173923,21.788739770388
"marketable_yield_ssp1191","271",13.8488314858721,18.0382363341172,20.9975234266664,22.0337514951755
"marketable_yield_ssp1192","272",9.37874985797724,11.5626926533481,10.2234093639776,10.2979164048241
"marketable_yield_ssp1193","273",10.2909648935264,12.3833575807281,11.5083964515877,11.3929061267386
"marketable_yield_ssp1194","274",9.43621785925842,11.4954736793982,11.0811249080189,10.9159084248164
"marketable_yield_ssp1195","275",10.4596392642645,12.9534476218507,12.368196251517,12.3221790323501
"marketable_yield_ssp1196","276",11.0617207114663,13.1674437399663,12.7764940349679,12.3524573884983
"marketable_yield_ssp1197","277",10.1935423962017,12.2986053710095,12.5498209325683,12.4129356809254
"marketable_yield_ssp1198","278",9.2180362030033,11.0481182699473,10.4135167585228,10.4363551348579
"marketable_yield_ssp1199","279",9.82159214733437,11.835054299072,11.4121671021259,11.1745611208732
"marketable_yield_ssp1200","28",10.4453707605851,13.6644154662121,13.9425179576341,13.9953420932417
"marketable_yield_ssp1201","280",10.1790419874268,12.5402936524562,12.3432588737994,12.3727696267324
"marketable_yield_ssp1202","281",9.98312408174072,12.1970531370887,12.1128836930459,11.7037461608768
"marketable_yield_ssp1203","282",10.5046650752024,12.6563983942443,12.7365044626859,12.9758074224282
"marketable_yield_ssp1204","283",10.450640604892,13.1455677486862,13.465106692697,13.0026495835184
"marketable_yield_ssp1205","284",11.2371756858115,13.9271363901043,14.345902072391,14.5754978921748
"marketable_yield_ssp1206","285",11.1356641847661,13.9625589649925,14.3543098464969,14.4242340578715
"marketable_yield_ssp1207","286",11.7499598597856,14.9650251716592,15.8188889194814,16.2128964554983
"marketable_yield_ssp1208","287",11.7861321495758,15.064498811215,15.8784059429127,15.6815678200679
"marketable_yield_ssp1209","288",12.3897780259271,15.6032952033149,16.8903336104112,16.9943841547175
"marketable_yield_ssp1210","289",13.0195832999742,16.403436729662,17.5076848015673,18.2480812389208
"marketable_yield_ssp1211","29",10.3893968383528,13.1786717751495,13.4960515480699,13.4725661663745
"marketable_yield_ssp1212","290",13.7960590926842,17.6616344350819,19.5594325692536,19.947521531349
"marketable_yield_ssp1213","291",13.9914607405538,18.2765630616836,20.2385921419151,20.6979862920519
"marketable_yield_ssp1214","292",16.0554044225515,20.0694222934305,22.5587512326345,23.2311870561118
"marketable_yield_ssp1215","293",15.5088297209158,19.8467279396954,22.5800548143244,23.6208046392555
"marketable_yield_ssp1216","294",15.6555621544867,20.0156986397902,23.0928922562786,24.3480005860096
"marketable_yield_ssp1217","295",15.8717420638286,21.1990771668593,24.6664376871488,26.0414143521393
"marketable_yield_ssp1218","296",16.1538081948054,21.2860214300082,25.3550113012397,26.8000394630133
"marketable_yield_ssp1219","297",16.3422135279419,21.7477401012823,26.2656688498585,28.0815846588483
"marketable_yield_ssp1220","298",16.2981185698249,21.7281288987803,26.4633970144937,28.3524856419046
"marketable_yield_ssp1221","299",16.1980320508037,21.308203519885,25.6965783351195,27.3128308007704
"marketable_yield_ssp1222","3",9.8775922236554,12.1919117493146,12.698154174695,13.1575386714781
"marketable_yield_ssp1223","30",9.52980930387513,12.4091312615623,12.2308710463782,12.3666203076681
"marketable_yield_ssp1224","300",15.357309654511,20.21375431755,24.2261634061294,25.774693668628
"marketable_yield_ssp1225","301",14.2554266639342,19.0373614590916,22.1461119011485,23.4262521094298
"marketable_yield_ssp1226","302",14.6802144431754,18.6308154380054,21.3906529702464,22.682934319658
"marketable_yield_ssp1227","303",14.2809145515841,18.5046112820203,21.1046184708966,21.9754388483738
