"","id","today","ssp1","ssp2","ssp3","ssp5"
"marketable_yield_today73","165",11.805995150576,11.2196656109093,9.89301496108436,7.69118030650596,6.11450340904156
"marketable_yield_today74","166",11.1089176963073,11.1529449533611,9.94968408867812,7.866137675405,6.33391355413521
"marketable_yield_today75","167",11.4000575689585,11.2639317843434,9.91241431040056,7.90850191822869,6.41190959084782
"marketable_yield_today76","168",11.1078365728228,10.8279450095336,9.53869184103925,7.58048718890032,6.0868193699819
"marketable_yield_today77","169",10.8714914400872,10.7260648075961,9.49535312750542,7.64403731422076,6.04661216648811
"marketable_yield_today78","17",9.71117500608487,11.2184377489059,10.8199496595376,8.66796837688274,7.42598924045239
"marketable_yield_today79","170",11.2965501650542,10.7421360255433,9.39857534092875,7.27531248896559,6.07445425137476
"marketable_yield_today80","171",11.623573109035,10.9666609742905,9.61934884950029,7.60207637263909,5.93902721613677
"marketable_yield_today81","172",10.7096034390578,11.3190312807248,10.2730356447075,8.18266063581165,6.81268956313893
"marketable_yield_today82","173",10.4526990904822,10.6619580530511,9.68660897091653,7.778037197502,6.40017655367175
"marketable_yield_today83","174",11.3274122436924,10.7258696531755,9.59169630876728,7.62545764974189,5.95656543527674
"marketable_yield_today84","175",10.4978248213484,11.4222932796758,10.6701017616758,8.30950976884375,6.90119438671466
"marketable_yield_today85","176",11.1506001835213,11.4693663977885,10.6601474905067,8.54777062401396,7.04223814122517
"marketable_yield_today86","177",11.2646299487633,11.4782837548489,10.4400825857719,8.15723003488233,6.7426678682862
"marketable_yield_today87","178",10.5347331536435,11.7678569443523,10.8585112258159,8.87137361438192,7.40548559828867
"marketable_yield_today88","179",10.8976814045802,12.3436839553579,11.5720665890938,9.41176647631598,7.82158085464436
"marketable_yield_today89","18",9.52752120553534,10.8708456420877,10.2546617551329,8.45372735608169,7.20134466312245
"marketable_yield_today90","180",11.4234245412979,12.3871837140965,11.5366119006194,9.32507346684797,7.69573400430582
"marketable_yield_today91","181",11.1546630162541,12.4449990821436,11.6348275785243,9.29438738276763,8.07026714067307
"marketable_yield_today92","182",9.59198731846869,12.0240209157802,11.5379728718148,9.55049710977699,8.14393742919177
"marketable_yield_today93","183",10.1208835619873,12.1639556136155,11.7153136861307,9.61502235598766,8.35443884775026
"marketable_yield_today94","184",9.23628155645267,11.9009467447632,11.7378587693339,9.71493106963058,8.55855883348491
"marketable_yield_today95","185",9.48295793732658,11.7730524823234,11.2746254759131,9.44477944295991,8.12862525930056
"marketable_yield_today96","186",9.68392186486408,11.9550461541833,11.2981340833323,9.43734025923833,7.94220166305709
"marketable_yield_today97","187",9.32961572186554,11.4941125108609,11.2799722232042,9.46018799233513,7.82589229069251
"marketable_yield_today98","188",10.5283372995056,12.3707833757597,11.9183337912204,9.82249258901095,8.22072941058101
"marketable_yield_today99","189",10.1956794024466,11.8982509874548,11.4375506124676,9.53650843304007,8.15317012966981
"marketable_yield_today100","19",9.67350568657148,11.1562260764339,10.1747618988522,8.29190542831888,7.25527546622646
"marketable_yield_today101","190",8.69633623199103,11.7884688890295,11.7508623710286,9.96391618702492,8.82215789474382
"marketable_yield_today102","191",7.71725479190205,11.3740018889439,11.7215693078073,10.2411156205437,9.34397329391154
"marketable_yield_today103","192",6.78424091792517,10.7055301828924,11.3077804909567,9.69315607989126,9.04196506464583
"marketable_yield_today104","193",6.92461821061152,10.5282107599199,11.063681913654,9.72504322076433,8.99391506107509
"marketable_yield_today105","194",6.9876426896471,10.600371884711,11.2307039446885,9.88341148303181,8.80877504816591
"marketable_yield_today106","195",7.27961789768053,10.7701302285479,11.290166194058,9.90012231769419,8.77938827568292
"marketable_yield_today107","196",7.72330004466147,11.3022451257475,11.7875778640298,10.2236609429303,9.36893480473259
"marketable_yield_today108","197",7.26402444016309,11.1814557878582,11.7591723458924,10.5042212553859,9.40602564371818
"marketable_yield_today109","198",6.55504642683301,11.1071711531525,12.1122616087373,10.8716927824508,10.1601159876818
"marketable_yield_today110","199",11.2303560240274,11.2179853216518,10.2054760862984,7.99425908159651,6.33695116720365
"marketable_yield_today111","2",9.37260983631078,10.8881991917141,9.95875981054414,8.14283247363256,6.72726514121723
"marketable_yield_today112","20",10.1797003875385,11.0003265754168,10.4074415405179,8.52295240462114,7.27674494091816
"marketable_yield_today113","200",11.2273465114469,11.2174348321565,9.94974585125311,7.9139580636204,6.34591522405039
"marketable_yield_today114","201",11.0379609277274,10.8592382084246,9.49583085808891,7.49850083068559,6.04421323169881
"marketable_yield_today115","202",11.4401988432978,11.0504644399698,9.79058368304173,7.67573831960431,6.32650826670593
"marketable_yield_today116","203",11.4159410949128,11.0274614197619,9.66331792139671,7.59525730409819,5.98814954092839
"marketable_yield_today117","204",11.1539270818776,10.6459782272217,9.24609944713793,7.2279216561759,5.67186007441589
"marketable_yield_today118","205",11.9318153313093,11.189096425877,9.82696012791012,7.68237107152548,6.02596925268031
"marketable_yield_today119","206",11.6726435971224,10.5364708447344,9.24812141903529,7.19922519270941,5.71340352885271
"marketable_yield_today120","207",10.466054927742,10.0445149901395,8.92284815061276,7.10577292755915,5.77384101518028
"marketable_yield_today121","208",10.1103603513777,9.53364595082556,8.43056644421382,6.06925161897747,4.73668834775904
"marketable_yield_today122","209",10.8576482529121,11.1309642159233,10.1800382435158,7.96829250837536,6.45471950137391
"marketable_yield_today123","21",10.2768288456749,11.1717262348624,10.2036254786865,8.09843526477953,6.84350644826102
"marketable_yield_today124","210",10.4227641901934,10.939525315003,9.89362817373674,7.75796142845111,6.37752805277837
"marketable_yield_today125","211",11.2353447187547,11.2953070392435,10.079371211715,7.99706438588303,6.50270177180147
"marketable_yield_today126","212",11.042085801154,11.2114470109921,10.0775003420793,7.96846478408225,6.61570917877052
"marketable_yield_today127","213",9.79144765794956,10.6896120037627,9.90830638288831,7.99262700058269,6.76907401369871
"marketable_yield_today128","214",10.9366573286579,11.0449948256824,10.0547114922996,7.87906148289857,6.51182024412049
"marketable_yield_today129","215",10.3374837340193,11.7448366049498,11.149824489479,8.87207566055746,7.66344270318031
"marketable_yield_today130","216",10.8343569035257,11.2030933949369,10.2766221656525,8.25817319410262,6.69331284948633
"marketable_yield_today131","217",10.7916223084089,12.165716471661,11.5471678927307,9.21578456080823,7.76837957720806
"marketable_yield_today132","218",10.5821965721504,11.5831139640537,11.0719240962822,8.87066135876247,7.42556697473007
"marketable_yield_today133","219",10.2870131683067,11.6853880234417,10.9841026598349,9.03871868902228,7.63245335977727
"marketable_yield_today134","22",10.8441843017495,10.538780452743,9.71430159252355,7.76069415963693,6.59906526022765
"marketable_yield_today135","220",9.46222692759696,11.9363677722726,11.2845902229706,9.43104086635502,8.20201734960823
"marketable_yield_today136","221",9.7959528262209,12.3662095642496,12.1206024900838,10.0406887570047,8.59181211269333
"marketable_yield_today137","222",10.1034411726498,12.1115489784159,11.5453530805621,9.66568530016821,8.25436531247841
"marketable_yield_today138","223",10.1885920910068,11.4770631514312,10.9816214241244,8.93905598732491,7.46749767282084
"marketable_yield_today139","224",8.96414517508675,11.1290307139089,10.6582780662322,8.92825736585656,7.74531698275785
"marketable_yield_today140","225",9.93284140399659,11.8620124499744,11.3096828782083,9.50194212332014,8.13550023107185
"marketable_yield_today141","226",9.53041831111076,11.9939298096809,11.4823678410421,9.79323885940246,8.42526907298224
"marketable_yield_today142","227",7.71003056545498,10.8997823891652,10.8671571824705,9.41542124629828,8.28199570422064
"marketable_yield_today143","228",6.92964135092735,10.5504347074766,11.3523462872259,9.74340554228035,8.96936953253695
"marketable_yield_today144","229",5.75191609264991,9.58185205758195,10.3542707107173,9.26713579174087,8.66269189927828
"marketable_yield_today145","23",10.0257254465542,11.3812452489404,10.5708615706574,8.6567503880592,7.14931966304174
"marketable_yield_today146","230",5.97253911137075,9.72952391220358,10.3467632905529,9.32823365617173,8.66521798691447
"marketable_yield_today147","231",6.26317313270996,10.3666742805065,10.8793187623013,9.86769887115944,9.05685948168639
"marketable_yield_today148","232",7.3685945092644,11.8242816765386,12.5060055846333,11.1267516503344,10.0019713134511
"marketable_yield_today149","233",8.00622412706884,11.7094866456758,11.9817488188199,10.5167627390288,9.34332849866198
"marketable_yield_today150","234",7.57519819822038,11.8020377492876,12.1530639601737,10.8254074998292,9.66439821156589
"marketable_yield_today151","235",6.64106488891503,11.201724051371,11.9856013670182,10.8239381376843,10.0001098296587
"marketable_yield_today152","236",12.5807302770921,11.5547395893659,10.1324132885768,7.71733949102078,6.18495759464709
"marketable_yield_today153","237",11.180697744531,10.9701231951069,9.61719038746276,7.54786417355834,6.09007121725571
"marketable_yield_today154","238",12.3464195786954,11.3239632489872,9.91379253406842,7.79025098855201,6.08321641976274
"marketable_yield_today155","239",11.4704526302367,11.1206903104413,9.79454837329695,7.58341053375092,6.13905593271951
"marketable_yield_today156","24",10.4284800241627,10.9785763835574,9.93571785986093,7.9866870593895,6.77973215436074
"marketable_yield_today157","240",10.4715575004252,10.5054040526146,9.40931055714937,7.25971149051764,5.8818040568913
"marketable_yield_today158","241",10.5371557331768,10.6896263249887,9.42899640796532,7.27979564543034,5.75448129066054
"marketable_yield_today159","242",10.8794115312264,10.8498684482742,9.82874765962595,7.53383803451414,6.16956761551402
"marketable_yield_today160","243",11.3066236991773,10.7597951026273,9.17184097497852,7.26022081163244,5.74064913340515
"marketable_yield_today161","244",10.2179690156239,10.3036193930401,9.28655037953602,7.25707069016487,5.97906607991527
"marketable_yield_today162","245",11.0721976971677,10.6450050326307,9.724827407104,7.54619904391192,6.24843244370891
"marketable_yield_today163","246",10.4571977463934,11.1169771493086,9.98841071816639,7.89096050274456,6.61161211665134
"marketable_yield_today164","247",10.9942541554225,11.7521817984415,10.8751381040022,8.59324003913471,7.21843049745373
"marketable_yield_today165","248",10.9033665488002,11.3268216635687,10.1958353665375,8.09141466105929,6.77786956041449
"marketable_yield_today166","249",10.2338880218658,11.1103066104905,10.0997413185694,8.24764762490744,6.75091663727495
"marketable_yield_today167","25",10.0169271614588,10.4395914872324,9.48166265355126,7.3901718963451,6.20618396065259
"marketable_yield_today168","250",9.98152921235296,11.1568512070865,10.310165938433,8.30279330402757,6.7947535188768
"marketable_yield_today169","251",10.130951857252,10.7438238768463,9.94134760999691,7.77117544744672,6.38971444695912
"marketable_yield_today170","252",10.0655069633792,11.0118536846001,10.1720813188736,8.2400762773141,6.71574762590568
"marketable_yield_today171","253",10.3092689077256,11.0022155704294,10.3510134197206,8.31836491352296,7.04390480419337
"marketable_yield_today172","254",10.1368313818175,10.8382174902844,10.1301640446241,8.20585339606556,6.80311516359474
"marketable_yield_today173","255",9.95698810597584,11.1489656857159,10.6488924750727,8.68458341248527,7.34251013379731
"marketable_yield_today174","256",10.0937193297195,11.6824113717416,11.1192118588817,9.17712201351982,7.71548755737728
