"","id","ssp1","ssp2","ssp3","ssp5"
"marketable_yield_ssp1189","27",14.3305015084905,7.52625514911594,-13.4910915248243,-24.8798660028915
"marketable_yield_ssp1190","270",47.7282803995358,53.4171952593184,38.3867267805506,27.0465786846014
"marketable_yield_ssp1191","271",46.5347362439679,52.0985303156116,37.7830625916315,28.5266504181265
"marketable_yield_ssp1192","272",-13.6487277632689,-27.6059110714019,-50.1505205243263,-66.217527179084
"marketable_yield_ssp1193","273",-7.03948738590954,-20.325313485675,-40.8637476839065,-57.1670396362358
"marketable_yield_ssp1194","274",-4.54581863383725,-17.4248437585056,-38.3248279255786,-51.474057243436
"marketable_yield_ssp1195","275",-5.59624742172982,-18.8496919056436,-40.1330573209866,-53.5321883703853
"marketable_yield_ssp1196","276",-3.96158266398611,-18.3130494770175,-38.3198139907078,-56.597187469574
"marketable_yield_ssp1197","277",-6.15533280314599,-20.9726118050085,-43.6078531749854,-60.6755638051555
"marketable_yield_ssp1198","278",-3.11215456327066,-16.2576091105872,-36.4312333195136,-53.8672298997557
"marketable_yield_ssp1199","279",2.20996082385447,-10.9687780059983,-31.8939699810618,-48.8911218967242
"marketable_yield_ssp1200","28",14.0232427206516,7.28173692357601,-13.6703671921849,-27.1361270355695
"marketable_yield_ssp1201","280",8.03882562377295,-2.53787582074477,-23.8103689677416,-38.1596818634873
"marketable_yield_ssp1202","281",2.19637105244402,-10.0449178376778,-31.1966695677467,-47.1721906643143
"marketable_yield_ssp1203","282",7.61577547505736,-2.78087855856505,-21.1857556688475,-36.2242422000295
"marketable_yield_ssp1204","283",5.99897349492197,-2.7250108018924,-22.8808959620181,-37.621385909089
"marketable_yield_ssp1205","284",13.1938526835508,5.85664563355419,-11.2409757595976,-24.7768431802263
"marketable_yield_ssp1206","285",2.02103264426549,-7.27810358813484,-25.6408710025702,-38.2221751519341
"marketable_yield_ssp1207","286",15.2910021528622,6.31414568396689,-9.82277272017814,-22.1475668731138
"marketable_yield_ssp1208","287",16.1879766751505,8.97693422224799,-6.2633664862989,-20.2756603081762
"marketable_yield_ssp1209","288",19.7958548400591,16.7914987031529,-0.546210884956917,-12.0786714082209
"marketable_yield_ssp1210","289",23.8876309663099,22.7508309062491,5.8981606602433,-7.46933543985173
"marketable_yield_ssp1211","29",15.6003690459666,11.3433624005132,-8.94532164461955,-22.297213946739
"marketable_yield_ssp1212","290",25.185901743245,24.1590364736865,8.97944235496762,-3.64425921538677
"marketable_yield_ssp1213","291",31.5315271748064,33.9677725929504,18.4235312039704,7.34537688172123
"marketable_yield_ssp1214","292",31.998143909583,34.5018610681289,21.1243586078674,9.54266260378366
"marketable_yield_ssp1215","293",37.3544367636066,45.3750957779025,32.6774103966056,24.9330766117749
"marketable_yield_ssp1216","294",35.5979512746885,39.4371043593142,29.8053091992695,22.4248652837283
"marketable_yield_ssp1217","295",38.8797944749978,44.4922910528621,36.5048835795125,30.8680988716976
"marketable_yield_ssp1218","296",34.3119148769431,42.0358746565255,33.9113332668589,28.6398771170782
"marketable_yield_ssp1219","297",38.2467994972562,47.5336792373285,41.8217412357537,39.3256328252451
"marketable_yield_ssp1220","298",38.0637323758722,47.6700778653263,40.0124924460488,37.615075952052
"marketable_yield_ssp1221","299",43.4681971095474,54.2901367314477,48.3373795988043,45.6563915794116
"marketable_yield_ssp1222","3",14.2271870176066,5.70591234690452,-13.0175234314072,-23.6593547135181
"marketable_yield_ssp1223","30",13.2426167586639,5.66935522218943,-13.5197882586226,-25.327837614087
"marketable_yield_ssp1224","300",42.505270471053,51.3031287328896,44.6750020052492,37.7129331664282
"marketable_yield_ssp1225","301",45.4185698397288,51.675297165281,42.1705627444788,31.6105656471077
"marketable_yield_ssp1226","302",42.6957539944133,46.1996994137536,34.6602711978704,24.8962210177779
"marketable_yield_ssp1227","303",40.058213634917,45.2394504910094,32.0174072590816,22.7106528666022
"marketable_yield_ssp1228","304",43.9005333546798,48.5473515349084,36.1816960213909,25.3022237817365
"marketable_yield_ssp1229","305",50.5563071086017,56.159995020551,44.3331316783941,33.6641705499252
"marketable_yield_ssp1230","306",-1.32898388085207,-16.1116198757961,-39.4881822400419,-59.4729829383932
"marketable_yield_ssp1231","307",-7.53499888493195,-21.6733249040541,-42.707040916682,-57.9479841099054
"marketable_yield_ssp1232","308",-7.9437938784508,-20.7193812101497,-42.8925783310169,-60.6484723880031
"marketable_yield_ssp1233","309",-14.3491598669676,-29.4345076617641,-50.0064470295432,-65.5987741997795
"marketable_yield_ssp1234","31",17.4426039641627,10.9665038499245,-7.60292922328659,-21.6001994295762
"marketable_yield_ssp1235","310",-2.23130280497628,-16.7735065992688,-38.2448647562627,-53.4881923547618
"marketable_yield_ssp1236","311",-14.1326362762408,-26.8880439749217,-48.420032895337,-66.2513216688317
